# Annual population denominators, 2012-2026 (million people).
# Estimated by geometric interpolation/extrapolation from local 2011 and 2024 anchors.
# Urban/rural counts hold Census-2011 shares fixed; they are not annual urbanization estimates.
state_code,year,population_mn,urban_population_mn,rural_population_mn,urban_pct_basis,rural_pct_basis,urban_share_year,method,source,quality
ALL,2012,1226.3587,382.6239,843.7348,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2013,1242.0147,387.5086,854.5061,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2014,1257.8706,392.4556,865.4149,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2015,1273.9289,397.4658,876.4631,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2016,1290.1922,402.54,887.6522,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2017,1306.6631,407.6789,898.9842,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2018,1323.3443,412.8834,910.4609,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2019,1340.2385,418.1544,922.0841,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2020,1357.3483,423.4927,933.8556,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2021,1374.6766,428.8991,945.7775,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2022,1392.2261,434.3745,957.8515,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2023,1409.9996,439.9199,970.0797,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2024,1428.0,445.536,982.464,31.2,68.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2025,1446.2302,451.2238,995.0064,31.2,68.8,2011,extrapolation of 2011-2024 geometric growth rate,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
ALL,2026,1464.6932,456.9843,1007.7089,31.2,68.8,2011,extrapolation of 2011-2024 geometric growth rate,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2012,0.3815,0.1438,0.2377,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2013,0.383,0.1444,0.2386,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2014,0.3845,0.145,0.2396,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2015,0.386,0.1455,0.2405,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2016,0.3876,0.1461,0.2415,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2017,0.3891,0.1467,0.2424,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2018,0.3906,0.1473,0.2434,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2019,0.3922,0.1479,0.2443,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2020,0.3937,0.1484,0.2453,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2021,0.3953,0.149,0.2463,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2022,0.3969,0.1496,0.2472,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2023,0.3984,0.1502,0.2482,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2024,0.4,0.1508,0.2492,37.7,62.3,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2025,0.4016,0.1514,0.2502,37.7,62.3,2011,extrapolation of 2011-2024 geometric growth rate,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AN,2026,0.4032,0.152,0.2512,37.7,62.3,2011,extrapolation of 2011-2024 geometric growth rate,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2012,49.6824,14.706,34.9764,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2013,49.9664,14.7901,35.1764,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2014,50.2521,14.8746,35.3775,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2015,50.5394,14.9597,35.5797,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2016,50.8283,15.0452,35.7831,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2017,51.1189,15.1312,35.9877,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2018,51.4111,15.2177,36.1934,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2019,51.705,15.3047,36.4004,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2020,52.0006,15.3922,36.6084,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2021,52.2979,15.4802,36.8177,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2022,52.5969,15.5687,37.0282,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2023,52.8976,15.6577,37.2399,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2024,53.2,15.7472,37.4528,29.6,70.4,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2025,53.5041,15.8372,37.6669,29.6,70.4,2011,extrapolation of 2011-2024 geometric growth rate,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AP,2026,53.81,15.9278,37.8823,29.6,70.4,2011,extrapolation of 2011-2024 geometric growth rate,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2012,1.3958,0.3196,1.0762,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2013,1.4118,0.3233,1.0885,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2014,1.4279,0.327,1.1009,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2015,1.4443,0.3307,1.1135,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2016,1.4608,0.3345,1.1263,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2017,1.4775,0.3383,1.1392,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2018,1.4944,0.3422,1.1522,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2019,1.5115,0.3461,1.1654,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2020,1.5288,0.3501,1.1787,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2021,1.5463,0.3541,1.1922,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2022,1.564,0.3582,1.2058,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2023,1.5819,0.3623,1.2196,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2024,1.6,0.3664,1.2336,22.9,77.1,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2025,1.6183,0.3706,1.2477,22.9,77.1,2011,extrapolation of 2011-2024 geometric growth rate,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AR,2026,1.6368,0.3748,1.262,22.9,77.1,2011,extrapolation of 2011-2024 geometric growth rate,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2012,31.5521,4.4488,27.1032,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2013,31.9081,4.499,27.4091,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2014,32.2682,4.5498,27.7184,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2015,32.6323,4.6012,28.0311,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2016,33.0005,4.6531,28.3475,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2017,33.3729,4.7056,28.6673,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2018,33.7495,4.7587,28.9908,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2019,34.1304,4.8124,29.318,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2020,34.5155,4.8667,29.6488,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2021,34.905,4.9216,29.9834,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2022,35.2989,4.9771,30.3217,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2023,35.6972,5.0333,30.6639,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2024,36.1,5.0901,31.0099,14.1,85.9,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2025,36.5074,5.1475,31.3598,14.1,85.9,2011,extrapolation of 2011-2024 geometric growth rate,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
AS,2026,36.9193,5.2056,31.7137,14.1,85.9,2011,extrapolation of 2011-2024 geometric growth rate,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2012,105.7108,11.9453,93.7655,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2013,107.3466,12.1302,95.2165,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2014,109.0077,12.3179,96.6898,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2015,110.6945,12.5085,98.186,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2016,112.4074,12.702,99.7054,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2017,114.1468,12.8986,101.2482,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2018,115.9131,13.0982,102.8149,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2019,117.7068,13.3009,104.4059,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2020,119.5282,13.5067,106.0215,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2021,121.3777,13.7157,107.6621,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2022,123.2559,13.9279,109.328,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2023,125.1632,14.1434,111.0198,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2024,127.1,14.3623,112.7377,11.3,88.7,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2025,129.0668,14.5845,114.4822,11.3,88.7,2011,extrapolation of 2011-2024 geometric growth rate,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
BR,2026,131.0639,14.8102,116.2537,11.3,88.7,2011,extrapolation of 2011-2024 geometric growth rate,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
CG,2012,25.834,5.9935,19.8405,23.2,76.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
CG,2013,26.1724,6.072,20.1004,23.2,76.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
CG,2014,26.5151,6.1515,20.3636,23.2,76.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
CG,2015,26.8624,6.2321,20.6303,23.2,76.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
CG,2016,27.2143,6.3137,20.9006,23.2,76.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
CG,2017,27.5707,6.3964,21.1743,23.2,76.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
CG,2018,27.9318,6.4802,21.4516,23.2,76.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
CG,2019,28.2977,6.5651,21.7326,23.2,76.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
CG,2020,28.6683,6.651,22.0172,23.2,76.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
CG,2021,29.0438,6.7382,22.3056,23.2,76.8,2011,geometric interpolation between 2011 and 2024 anchors,Derived from preserved population anchors and Census-2011 urban/rural source inputs,estimate
